Date,Close
7/12/2001,16.49
7/13/2001,16.98
7/16/2001,16.01
7/17/2001,16.35
7/18/2001,15.96
7/19/2001,16.49
7/20/2001,16.98
7/23/2001,16.030001
7/24/2001,12.06
7/25/2001,11.51
7/26/2001,12.33
7/27/2001,12.25
7/30/2001,12.55
7/31/2001,12.49
8/1/2001,12.5
8/2/2001,12.19
8/3/2001,12.15
8/6/2001,11.9
8/7/2001,11.6
8/8/2001,11.11
8/9/2001,10.46
8/10/2001,9.95
8/13/2001,10.12
8/14/2001,10.53
8/15/2001,10.08
8/16/2001,9.81
8/17/2001,9.99
8/20/2001,10.4
8/21/2001,9.89
8/22/2001,10.2
8/23/2001,9.63
8/24/2001,10.23
8/27/2001,10.13
8/28/2001,9.97
8/29/2001,9.19
8/30/2001,8.69
8/31/2001,8.94
9/4/2001,8.59
9/5/2001,7.65
9/6/2001,8.15
9/7/2001,8.51
9/10/2001,8.63
9/17/2001,7.49
9/18/2001,7.29
9/19/2001,7.31
9/20/2001,7.48
9/21/2001,7.48
9/24/2001,7.46
9/25/2001,7.09
9/26/2001,6.35
9/27/2001,6.2
9/28/2001,5.97
10/1/2001,6.01
10/2/2001,6.08
10/3/2001,6.76
10/4/2001,7.04
10/5/2001,7.2
10/8/2001,7.12
10/9/2001,6.91
10/10/2001,7.26
10/11/2001,7.85
10/12/2001,8.07
10/15/2001,8.88
10/16/2001,9.56
10/17/2001,8.92
10/18/2001,8.47
10/19/2001,8.01
10/22/2001,8.77
10/23/2001,9.55
10/24/2001,7.64
10/25/2001,7.77
10/26/2001,7.56
10/29/2001,7.05
10/30/2001,6.42
10/31/2001,6.98
11/1/2001,6.95
11/2/2001,6.71
11/5/2001,6.99
11/6/2001,7.05
11/7/2001,7.43
11/8/2001,6.97
11/9/2001,7.12
11/12/2001,7.05
11/13/2001,7.29
11/14/2001,9.49
11/15/2001,9.05
11/16/2001,8.95
11/19/2001,9.19
11/20/2001,8.6
11/21/2001,8.8
11/23/2001,9.08
11/26/2001,12.21
11/27/2001,11.48
11/28/2001,11.59
11/29/2001,11.15
11/30/2001,11.32
12/3/2001,10.49
12/4/2001,11.93
12/5/2001,11.76
12/6/2001,12.1
12/7/2001,11.71
12/10/2001,11.65
12/11/2001,12.24
12/12/2001,11.91
12/13/2001,10.89
12/14/2001,11
12/17/2001,10.81
12/18/2001,10.86
12/19/2001,10.71
12/20/2001,10.15
12/21/2001,10
12/24/2001,9.83
12/26/2001,11.1
12/27/2001,10.6
12/28/2001,10.9
12/31/2001,10.82
1/2/2002,10.96
1/3/2002,11.9
1/4/2002,12.25
1/7/2002,12.34
1/8/2002,11.85
1/9/2002,11.53
1/10/2002,11.04
1/11/2002,11.03
1/14/2002,10.11
1/15/2002,10.29
1/16/2002,9.13
1/17/2002,9.74
1/18/2002,10.16
1/22/2002,12.6
1/23/2002,12.47
1/24/2002,14.01
1/25/2002,14.44
1/28/2002,15.5
1/29/2002,14.22
1/30/2002,13.9
1/31/2002,14.19
2/1/2002,13.73
2/4/2002,12.53
2/5/2002,11.5
2/6/2002,11.26
2/7/2002,11.24
2/8/2002,12.52
2/11/2002,13.3
2/12/2002,12.9
2/13/2002,13.29
2/14/2002,13.88
2/15/2002,13.41
2/19/2002,13.01
2/20/2002,12.96
2/21/2002,13.26
2/22/2002,13.07
2/25/2002,13.73
2/26/2002,14.4
2/27/2002,14.27
2/28/2002,14.1
3/1/2002,15.39
3/4/2002,16.48
3/5/2002,15.97
3/6/2002,16.33
3/7/2002,15.62
3/8/2002,16.35
3/11/2002,16.709999
3/12/2002,16.309999
3/13/2002,15.74
3/14/2002,14.48
3/15/2002,14.03
3/18/2002,15.01
3/19/2002,14.66
3/20/2002,14.5
3/21/2002,15.17
3/22/2002,15.53
3/25/2002,14.74
3/26/2002,14.83
3/27/2002,14.25
3/28/2002,14.3
4/1/2002,14.8
4/2/2002,14.25
4/3/2002,13.67
4/4/2002,13.54
4/5/2002,13.5
4/8/2002,13.95
4/9/2002,13.6
4/10/2002,13.48
4/11/2002,12.74
4/12/2002,13.31
4/15/2002,13.89
4/16/2002,14.01
4/17/2002,14.82
4/18/2002,14.26
4/19/2002,14.53
4/22/2002,14.31
4/23/2002,14.06
4/24/2002,16.790001
4/25/2002,16.82
4/26/2002,16.91
4/29/2002,16.18
4/30/2002,16.690001
5/1/2002,16.49
5/2/2002,16.32
5/3/2002,16.049999
5/6/2002,16.120001
5/7/2002,16.110001
5/8/2002,17.32
5/9/2002,17.73
5/10/2002,16.940001
5/13/2002,17.32
5/14/2002,18.809999
5/15/2002,19.940001
5/16/2002,19.610001
5/17/2002,19.16
5/20/2002,19.389999
5/21/2002,18.76
5/22/2002,18.75
5/23/2002,19.450001
5/24/2002,19.469999
5/28/2002,19.059999
5/29/2002,18.91
5/30/2002,18.370001
5/31/2002,18.23
6/3/2002,17.959999
6/4/2002,17.969999
6/5/2002,17.99
6/6/2002,18.17
6/7/2002,18.58
6/10/2002,17.299999
6/11/2002,17.139999
6/12/2002,17.08
6/13/2002,17.43
6/14/2002,16.82
6/17/2002,18.41
6/18/2002,18.780001
6/19/2002,18.299999
6/20/2002,17.549999
6/21/2002,17.530001
6/24/2002,17.51
6/25/2002,15.34
6/26/2002,15.85
6/27/2002,15.86
6/28/2002,16.25
7/1/2002,13.55
7/2/2002,13.32
7/3/2002,14.25
7/5/2002,15.21
7/8/2002,14.94
7/9/2002,15.6
7/10/2002,14.96
7/11/2002,15.55
7/12/2002,15.43
7/15/2002,15.94
7/16/2002,16.290001
7/17/2002,16.16
7/18/2002,15.55
7/19/2002,15.29
7/22/2002,15.5
7/23/2002,14.55
7/24/2002,14.1
7/25/2002,12.49
7/26/2002,12.93
7/29/2002,14.33
7/30/2002,14.77
7/31/2002,14.45
8/1/2002,14.16
8/2/2002,13.84
8/5/2002,12.87
8/6/2002,13.74
8/7/2002,13.6
8/8/2002,13.9
8/9/2002,14.26
8/12/2002,14.46
8/13/2002,13.93
8/14/2002,13.91
8/15/2002,14.62
8/16/2002,14.9
8/19/2002,15.5
8/20/2002,15.98
8/21/2002,15.38
8/22/2002,15.73
8/23/2002,15.17
