Date,Open,High,Low,Close,Height,Volume,gap,gap_center
2016-08-27,47.220001,47.490002,43.0,44.439999,44.439999,2504628,44.439999,44.439999
2016-09-03,44.150002,47.75,43.84,45.880001,45.880001,2955163,45.880001,45.880001
2016-09-10,45.57,46.509998,42.740002,43.029999,43.029999,2877028,43.029999,43.029999
2016-09-17,43.18,46.549999,42.549999,44.48,44.48,2650049,44.48,44.48
2016-09-24,44.619999,48.32,44.189999,48.240002,48.240002,3365474,48.240002,48.240002
2016-10-01,48.040001,50.740002,47.779999,49.810001,49.810001,2658525,49.810001,49.810001
2016-10-08,49.57,51.599998,49.150002,50.349998,50.349998,3245669,50.349998,50.349998
2016-10-15,50.23,51.93,49.470001,50.849998,50.849998,1844200,50.849998,50.849998
2016-10-22,50.849998,50.98,48.419998,48.700001,48.700001,2949750,48.700001,48.700001
2016-10-29,48.25,48.740002,43.57,44.07,44.07,3435672,44.07,44.07
