datetime,wind_speed,value
2010091520,7.5 ,80
2010091521,7.3 ,90
2010091522,7.5 ,98
2010091523,7.6 ,104
201009160 ,7.9 ,104
201009161 ,8.2 ,106
201009162 ,8.4 ,101
201009163 ,8.6 ,93
201009164 ,8.8 ,93
201009165 ,9   ,78
201009166 ,9.2 ,73
201009167 ,9.1 ,73
201009168 ,9.6 ,73
201009169 ,9.6 ,82
2010091610,9.7 ,91
2010091611,9.7 ,98
2010091612,9.8 ,98
2010091613,9.7 ,105
2010091614,9.6 ,103
2010091615,9.5 ,97
2010091616,9.3 ,97
2010091617,9   ,83
2010091618,8.8 ,76
2010091619,8.8 ,73
2010091620,8.7 ,73
2010091621,8.5 ,75
2010091622,8.3 ,80
2010091623,8.2 ,85
201009170 ,8.2 ,85
201009171 ,8   ,90
201009172 ,7.9 ,89
201009173 ,7.7 ,85
201009174 ,7.5 ,85
201009175 ,7.3 ,73
201009176 ,7.2 ,67
201009177 ,7.1 ,65
201009178 ,6.9 ,65
201009179 ,6.8 ,68
2010091710,6.7 ,74
2010091711,6.6 ,80
2010091712,6.5 ,80
2010091713,6.3 ,90
2010091714,6.2 ,93
2010091715,6.2 ,92
2010091716,6.2 ,92
2010091717,6.2 ,82
2010091718,6.2 ,76
2010091719,6.2 ,70
2010091720,6.3 ,70
2010091721,6.4 ,65
2010091722,6.4 ,66
2010091723,6.5 ,68
201009180 ,6.6 ,68
201009181 ,6.6 ,74
201009182 ,6.5 ,76
201009183 ,6.2 ,76
201009184 ,6   ,76
201009185 ,5.7 ,69
201009186 ,5.4 ,64
201009187 ,5   ,59
201009188 ,4.7 ,59
201009189 ,4.5 ,56
2010091810,4.4 ,57
2010091811,4.3 ,61
2010091812,4.2 ,61
2010091813,4   ,71
2010091814,3.6 ,76
2010091815,3.2 ,79
2010091816,2.8 ,79
2010091817,2.2 ,78
2010091818,1.8 ,74
2010091819,1.5 ,69
2010091820,1.3 ,69
2010091821,1.3 ,61
2010091822,1.4 ,59
2010091823,1.6 ,60
201009190 ,1.8 ,60
201009191 ,2.1 ,65
201009192 ,2.4 ,70
201009193 ,2.7 ,73
201009194 ,2.9 ,73
201009195 ,3.1 ,76
201009196 ,3.4 ,74
201009197 ,3.6 ,71
201009198 ,3.8 ,71
201009199 ,4.1 ,66
2010091910,4.3 ,66
2010091911,4.7 ,67
2010091912,5   ,67
2010091913,5.5 ,75
2010091914,5.7 ,81
2010091915,6   ,86
2010091916,6.2 ,86
2010091917,6.3 ,91
2010091918,6.5 ,90
2010091919,6.5 ,86
2010091920,6.4 ,86
2010091921,6.4 ,75
2010091922,6.3 ,70
2010091923,6.2 ,66
201009200 ,6.2 ,66
201009201 ,6.2 ,67
201009202 ,6   ,71
201009203 ,5.9 ,76
201009204 ,5.7 ,76
201009205 ,5.5 ,84
201009206 ,5.4 ,86
201009207 ,5.2 ,85
201009208 ,5.1 ,85
201009209 ,4.9 ,78
2010092010,4.8 ,75
2010092011,4.8 ,73
2010092012,4.8 ,73
2010092013,4.7 ,76
2010092014,4.6 ,81
2010092015,4.5 ,88
2010092016,4.4 ,88
2010092017,4.3 ,98
2010092018,4.2 ,101
2010092019,4.1 ,99
2010092020,4   ,99
2010092021,4   ,89
2010092022,4   ,81
2010092023,3.9 ,73
201009210 ,3.8 ,73
201009211 ,3.7 ,67
201009212 ,3.5 ,69
