74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,dates
-0.9283251166343688,-0.9356825947761536,-0.9534026384353638,-0.9480553269386292,-0.9573972225189208,-0.9367759227752686,-0.9481755495071412,-0.9408352971076964,-0.9105650186538696,-0.9197970032691956,2002-04-11
-0.9362756609916688,-0.958119571208954,-0.9979525208473206,-0.9736925959587096,-0.9715401530265808,-0.9570658206939696,-0.9723730087280272,-0.9582694172859192,-0.9180752038955688,-0.923933446407318,2002-04-12
-0.9311315417289734,-0.953271508216858,-0.9631634354591371,-0.947215497493744,-0.9648095369338988,-0.9513447880744934,-0.9557718634605408,-0.9501975178718568,-0.911270558834076,-0.9234669208526612,2002-04-13
-0.9284663796424866,-0.9571579694747924,-0.9740297198295592,-0.9568451642990112,-0.9595305919647216,-0.953374683856964,-0.965114414691925,-0.9482879042625428,-0.9227132797241212,-0.9375704526901244,2002-04-14
-0.926996886730194,-0.9599090218544006,-0.9705246090888976,-0.9573256373405457,-0.9545896053314208,-0.9556764364242554,-0.9684810042381288,-0.9520254135131836,-0.9377568364143372,-0.9471434354782104,2002-04-15
-0.9133579730987548,-0.9504996538162231,-0.9584125876426696,-0.9384817481040956,-0.9367079734802246,-0.9437445998191832,-0.949938416481018,-0.9412624835968018,-0.9247611165046692,-0.9309081435203552,2002-04-16
-0.9016413688659668,-0.9534683823585509,-0.9720988273620604,-0.9374445676803588,-0.9302731156349182,-0.9510300159454346,-0.9592461585998536,-0.9339605569839478,-0.9144786596298218,-0.9191658496856691,2002-04-17
-0.8933600187301636,-0.9531985521316528,-0.9547010660171508,-0.9236034750938416,-0.9218789339065552,-0.9533898830413818,-0.9441280961036682,-0.9242121577262878,-0.8913424015045166,-0.904194951057434,2002-04-18
-0.8961961269378662,-0.9557944536209106,-0.9598909616470336,-0.9265633821487428,-0.9237049221992492,-0.961622416973114,-0.9563838243484496,-0.9295234084129332,-0.892770528793335,-0.9127955436706544,2002-04-19
-0.9017292857170104,-0.947551131248474,-0.9558914303779602,-0.9309132099151612,-0.9263381361961364,-0.9487600922584534,-0.9476886987686156,-0.9326576590538024,-0.8956241011619568,-0.9182851910591124,2002-04-20
-0.9005065560340881,-0.9380149245262146,-0.9505054950714112,-0.921100616455078,-0.921289086341858,-0.9405267238616944,-0.939789891242981,-0.9255221486091614,-0.8971931934356691,-0.9160285592079164,2002-04-21
-0.9000929594039917,-0.9414858222007751,-0.9549729824066162,-0.935494065284729,-0.9224124550819396,-0.9550290107727052,-0.9454755783081056,-0.9319786429405212,-0.898558497428894,-0.9069904088974,2002-04-22
