date,85_15,65_40,65_60,94_60,35_60,50_40,80_70,95_53,110_70,65_50,40_50
2006-07-08,0.3017,0.013299999,0.027,0.0011,0.053599995,0.2426,0.2929,0.29299998,0.18389998,0.0326,0.0021
2006-07-09,0.31519997,0.00049999997,0.058199994,0.0166,0.057699997,0.0854,0.28219998,0.3254,0.19039999,0.059499998,0.0041
2006-07-10,0.33059996,0.028099999,0.0492,0.0321,0.069299996,0.0,0.2812,0.3065,0.16949998,0.063099995,0.0245
2006-07-11,0.2918,0.0069999998,0.099599995,0.0,0.0467,0.2357,0.23779999,0.2343,0.16719998,0.096099995,0.00059999997
2006-07-12,0.29729998,0.0149,0.045099996,0.0338,0.0438,0.22359999,0.19629999,0.39279997,0.186,0.053299997,1e-04
2006-07-13,0.3198,0.0174,0.0431,0.0,0.0648,0.3527,0.09859999,0.2047,0.0725,0.040799998,0.0962
2006-07-14,0.3575,0.00049999997,0.0299,0.0008,0.0402,0.0783,0.1026,0.22439998,0.0755,0.043899998,0.0
2006-07-15,0.3173,0.0042999997,0.0519,0.009099999,0.049399998,0.11719999,0.09199999,0.2514,0.0963,0.0463,0.0016
2006-07-16,0.38629997,0.0,0.023599999,0.0017,0.0069999998,0.09179999,0.0637,0.2376,0.047999997,0.0177,0.0
2006-07-17,0.30159998,0.0,0.0721,0.0011999999,0.036799997,0.2364,0.050899997,0.2342,0.022799999,0.020399999,0.0
2006-07-18,0.4127,0.0,0.028299998,0.0008999999,0.045299996,0.0,0.045099996,0.24489999,0.0,0.024899999,0.0
2006-07-19,0.33429998,0.0052999994,0.0779,0.0,0.024199998,0.2505,0.0502,0.2408,0.0,0.0673,0.0048999996
2006-07-20,0.31519997,0.0064,0.067899995,0.0127,0.0544,0.2756,0.082499996,0.2492,0.0316,0.058199994,0.0076999995
2006-07-21,0.3516,0.15849999,0.06739999,0.0117,0.069299996,0.32999998,0.061299995,0.26849997,0.0072999992,0.10349999,0.0332
2006-07-22,0.28289998,0.46489996,0.060299996,0.0004,0.0389,0.36729997,0.042399995,0.2532,0.0002,0.0938,0.023899999
2006-07-23,0.3373,0.0,0.104499996,0.0047,0.07399999,0.325,0.1328,0.19629999,0.0176,0.08479999,0.036399998
